Period,Revenue,COGS,Gross Profit,Operating Expenses,Net Income,Cash Flow,Customers,ARR,Multiple
Month 1,$0,$0,$0,$50,000,-$50,000,-$50,000,0,$0,0.0x
Month 2,$0,$0,$0,$50,000,-$50,000,-$50,000,0,$0,0.0x
Month 3,$20,833,$2,083,$18,750,$50,000,-$31,250,-$31,250,1,$20,833,0.0x
Month 4,$41,667,$4,167,$37,500,$50,000,-$12,500,-$12,500,2,$41,667,0.0x
Month 5,$62,500,$6,250,$56,250,$50,000,$6,250,$6,250,3,$62,500,0.0x
Month 6,$83,333,$8,333,$75,000,$50,000,$25,000,$25,000,4,$83,333,0.0x
Month 7,$104,167,$10,417,$93,750,$50,000,$43,750,$43,750,5,$104,167,0.0x
Month 8,$125,000,$12,500,$112,500,$50,000,$62,500,$62,500,6,$125,000,0.0x
Month 9,$145,833,$14,583,$131,250,$50,000,$81,250,$81,250,7,$145,833,0.0x
Month 10,$166,667,$16,667,$150,000,$50,000,$100,000,$100,000,8,$166,667,0.0x
Month 11,$187,500,$18,750,$168,750,$50,000,$118,750,$118,750,9,$187,500,0.0x
Month 12,$208,333,$20,833,$187,500,$50,000,$137,500,$137,500,10,$208,333,0.0x
Year 1,$250,000,$25,000,$225,000,$600,000,-$375,000,-$375,000,10,$250,000,0.0x
Year 2,$2,500,000,$250,000,$2,250,000,$1,500,000,$750,000,$750,000,100,$2,500,000,6.7x
Year 3,$15,000,000,$1,500,000,$13,500,000,$5,000,000,$8,500,000,$8,500,000,500,$15,000,000,20.0x
Year 4,$50,000,000,$5,000,000,$45,000,000,$15,000,000,$30,000,000,$30,000,000,1,500,$50,000,000,66.7x
Year 5,$150,000,000,$15,000,000,$135,000,000,$45,000,000,$90,000,000,$90,000,000,3,000,$150,000,000,200.0x
